"tow","net","fraction","bin","count","depth","hdif","split","freq","tv","Density_m3","bin2","NBV_m3","BM_m3","oxy_m3","CO2_m3","Abundance_m2","NBV_m2","BM_m2","oxy_m2","CO2_m2","gray_mode"
"m48","n4","2000","0.5",1,450,100,0.25,4,725.3,0.00551495932717496,0.5,0.0452591214981664,0.000656257261723413,0.000215400528373393,0.000187398459684852,0.551495932717496,4.52591214981664,0.0656257261723413,0.0215400528373393,0.0187398459684852,93
"m48","n4","5000","0.9",1,450,100,0.25,4,725.3,0.00551495932717496,0.9,0.815869477992937,0.0118301074308976,0.000489811878715721,0.000426136334482677,0.551495932717496,81.5869477992937,1.18301074308976,0.0489811878715721,0.0426136334482677,49
"m48","n5","5000","0.5",1,350,100,0.25,4,471.3,0.00848716316571186,0.5,0.110580356635307,0.00160341517121195,0.000353841474166799,0.000307842082525115,0.848716316571186,11.0580356635307,0.160341517121195,0.0353841474166799,0.0307842082525115,123
"m48","n6","5000","0.6",1,250,100,0.25,4,509.7,0.00784775358053757,0.6,0.156498141263404,0.00226922304831936,0.000357155408765888,0.000310725205626323,0.784775358053757,15.6498141263404,0.226922304831936,0.0357155408765888,0.0310725205626323,88
"m48","n6","5000","0.7",1,250,100,0.25,4,509.7,0.00784775358053757,0.7,0.467424292846291,0.00677765224627122,0.000479177335896656,0.000416884282230091,0.784775358053757,46.7424292846291,0.677765224627122,0.0479177335896656,0.0416884282230091,241
"m48","n7","5000","0.9",1,175,50,0.25,4,233,0.0171673819742489,0.9,4.76043335602306,0.0690262836623344,0.00216676588868416,0.00188508632315522,0.858369098712446,238.021667801153,3.45131418311672,0.108338294434208,0.0942543161577608,44
"m48","n8","5000","0.6",1,75,150,0.25,4,383.9,0.0104193800468872,0.6,0.315154140564327,0.00456973503818274,0.000543604707525471,0.000472936095547159,1.56290700703308,47.273121084649,0.685460255727411,0.0815407061288206,0.0709404143320739,52
"m48","n8","5000","0.8",1,75,150,0.25,4,383.9,0.0104193800468872,0.8,0.965161221095193,0.0139948377058803,0.000777631889853124,0.000676539744172218,1.56290700703308,144.774183164279,2.09922565588204,0.116644783477969,0.101480961625833,80
"m48","n8","5000","1",2,75,150,0.25,8,383.9,0.0208387600937744,1,9.8542429932077,0.142886523401512,0.00366455586897405,0.00318816360600742,3.12581401406616,1478.13644898115,21.4329785102267,0.549683380346107,0.478224540901113,48
"m48","n9","1000","0.1",1,75.1,50.6,0.03125,32,327,0.0978593272171254,0.1,0.0838650734974722,0.00121604356571335,0.00385765782555603,0.00335616230823375,4.95168195718654,4.24357271897209,0.0615318044250954,0.195197485973135,0.169821812796628,241
"m48","n9","2000","0.3",1,75.1,50.6,0.03125,32,327,0.0978593272171254,0.3,0.409120494234151,0.00593224716639519,0.00408085053123949,0.00355033996217836,4.95168195718654,20.701497008248,0.300171706619597,0.206491036880718,0.179647202086225,254
"m48","n9","5000","0.8",1,75.1,50.6,0.125,8,327,0.0244648318042813,0.8,2.6566956940221,0.0385220875633204,0.00199685409475795,0.00173726306243941,1.23792048929664,134.428802117518,1.94921763070401,0.101040817194752,0.0879055109594343,102
"m90","n10","0200","0.1",1,25,50,0.0009765625,1024,365.8,2.79934390377255,0.1,1.62317267075243,0.0235360037259103,0.122546402145342,0.106615369866448,139.967195188628,81.1586335376217,1.17680018629552,6.12732010726712,5.33076849332239,120
