Ship,Tow_number,Net_number,Taxon,Fish.ID,Image.Name,ImageJ.Number,Std_length_mm,Notes,Tow_net,cruise_no,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials,taxa_code,Lowest_taxon
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-7,SG2105_MOC4_Net1_ImageJ,7,28.203,"damaged head, full body ",4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-8,SG2105_MOC4_Net1_ImageJ,8,22.176,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-9,SG2105_MOC4_Net1_ImageJ,9,30.135,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-10,SG2105_MOC4_Net1_ImageJ,10,22.68,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-11,SG2105_MOC4_Net1_ImageJ,11,23.1945,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-12,SG2105_MOC4_Net1_ImageJ,12,21.3885,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-13,SG2105_MOC4_Net1_ImageJ,13,20.79,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Alepocephalidae,MOC4-Net1-Ale-1,SG2105_MOC4_Net1_ImageJ,15,19.6875,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Alepocephalidae,MOC4-Net1-Ale-2,SG2105_MOC4_Net1_ImageJ,16,22.0395,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,3,Myctophidae,MOC4-Net3-Myc-1,SG2105_MOC4_Net3_ImageJ,1,11.9595,NA,4 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
